Row,Mean_calibrated,CI_calib,Mean_expert,CI_expert
"Aruba",16790.9682875883,707.85142268815,38706.6908077085,1711.27207431318
"Lesotho",591.643508609816,32.0899214705918,1702.18602283793,90.0953045713784
"Burkina Faso",62.3241770866302,2.90890214465935,173.917218620733,9.18993732926489
"Macao",2160.23955801376,91.9570007175816,5483.89584132684,241.220593245193
"Occupied Palestinian Territory",NaN,NaN,NaN,NaN
"Barbados",4959.00818243843,189.500013555038,11530.0944472208,453.966018128662
"Liberia",336.129458764832,15.8604083933487,671.036791750675,28.047687443973
"Fiji",1555.50000919639,58.6176319102046,3573.93799690199,142.505989174814
"Sint Maarten (Dutch part)",NaN,NaN,NaN,NaN
"Mali",58.7105074289,2.66121713633114,160.236115119129,8.37682037055201
"Malawi",67.8004720252033,2.59348695305732,154.288593457198,5.94574881024997
"Niger",47.8551648673103,2.05016371188362,119.999514692818,5.43650925464528
"Swaziland",882.528150606893,36.9269841438895,2168.09484469424,92.2985469641177
"South Sudan",NaN,NaN,NaN,NaN
"Sierra Leone",142.041661813853,5.63036349977206,292.55844024958,10.9715446148718
"Somalia",NaN,NaN,NaN,NaN
"Faeroe Islands",NaN,NaN,NaN,NaN
"Greenland",NaN,NaN,NaN,NaN
"Bermuda",12847.5588952358,485.571096886296,28082.0863529862,1049.66689722802
"French Polynesia",NaN,NaN,NaN,NaN
"Rwanda",54.8937685764007,2.37039785227054,133.604515792716,5.7262264622175
"Chad",37.3796462459294,1.5734085806068,96.5287691729939,4.4146870416427
"Bonaire, Saint Eustatius and Saba",NaN,NaN,NaN,NaN
"Maldives",816.826248631523,45.2278113377831,2498.44472676195,146.882602963282
"Antigua and Barbuda",NaN,NaN,NaN,NaN
"Djibouti",524.446752646192,20.5218062516851,1204.01902488673,47.1150619653134
"Belize",1212.10936692315,46.9843141940154,2919.52979366637,119.433929009488
"Eritrea",NaN,NaN,NaN,NaN
"Bhutan",413.143234260088,23.1900259729432,1258.67213643564,76.6502745133969
