,1,2,3,4,5,6
254,11477.62176,8526.312286,9447.486061,12589.8696,9463.043207,8584.497425
255,11478.2559,8526.431038,9447.752382,12590.72707,9463.312131,8584.625103
256,11478.87208,8526.546424,9448.011157,12591.56028,9463.573435,8584.749162
257,11479.47082,8526.658538,9448.262598,12592.36991,9463.827334,8584.869704
258,11480.0526,8526.767473,9448.506914,12593.15663,9464.074038,8584.986828
259,11480.61791,8526.87332,9448.744306,12593.92107,9464.31375,8585.100632
260,11481.16722,8526.976166,9448.97497,12594.66388,9464.546669,8585.211209
261,11481.70097,8527.076096,9449.199097,12595.38567,9464.772987,8585.318651
262,11482.2196,8527.173193,9449.416872,12596.08701,9464.992891,8585.423047
263,11482.72354,8527.267536,9449.628475,12596.76851,9465.206563,8585.524484
264,11483.21321,8527.359205,9449.834081,12597.43071,9465.414179,8585.623044
265,11483.68902,8527.448275,9450.033859,12598.07416,9465.61591,8585.718809
266,11484.15134,8527.534819,9450.227975,12598.69939,9465.811923,8585.81186
267,11484.60057,8527.618909,9450.416588,12599.30691,9466.002381,8585.902272
268,11485.03708,8527.700615,9450.599856,12599.89724,9466.18744,8585.99012
269,11485.46122,8527.780004,9450.777928,12600.47084,9466.367253,8586.075478
270,11485.87334,8527.857142,9450.950953,12601.0282,9466.54197,8586.158416
271,11486.27379,8527.932093,9451.119073,12601.56978,9466.711734,8586.239001
272,11486.6629,8528.004918,9451.282428,12602.09601,9466.876685,8586.317302
273,11487.04098,8528.075678,9451.441152,12602.60734,9467.036961,8586.393383
274,11487.40834,8528.144432,9451.595376,12603.10419,9467.192693,8586.467306
275,11487.7653,8528.211237,9451.745228,12603.58696,9467.344011,8586.539133
276,11488.11215,8528.276147,9451.890833,12604.05606,9467.491039,8586.608923
277,11488.44917,8528.339216,9452.032309,12604.51187,9467.633899,8586.676734
278,11488.77664,8528.400497,9452.169775,12604.95477,9467.772709,8586.742623
279,11489.09482,8528.46004,9452.303343,12605.38511,9467.907583,8586.806643
280,11489.404,8528.517895,9452.433125,12605.80327,9468.038634,8586.868848
281,11489.70441,8528.574109,9452.559227,12606.20958,9468.165969,8586.929288
282,11489.9963,8528.628729,9452.681755,12606.60438,9468.289695,8586.988015
283,11490.27993,8528.6818,9452.800808,12606.98799,9468.409912,8587.045077
284,11490.55552,8528.733366,9452.916486,12607.36073,9468.526721,8587.10052
285,11490.82329,8528.78347,9453.028884,12607.72291,9468.640219,8587.154391
286,11491.08348,8528.832153,9453.138096,12608.07483,9468.750498,8587.206734
287,11491.33629,8528.879455,9453.244211,12608.41677,9468.857651,8587.257593
288,11491.58194,8528.925416,9453.347317,12608.74902,9468.961765,8587.30701
289,11491.82062,8528.970074,9453.4475,12609.07186,9469.062928,8587.355025
290,11492.05254,8529.013465,9453.544842,12609.38555,9469.161222,8587.401679
291,11492.27789,8529.055625,9453.639424,12609.69035,9469.256729,8587.44701
292,11492.49685,8529.09659,9453.731325,12609.98651,9469.349528,8587.491055
293,11492.7096,8529.136393,9453.820619,12610.27428,9469.439696,8587.533851
294,11492.91632,8529.175067,9453.907382,12610.55389,9469.527307,8587.575433
295,11493.11718,8529.212645,9453.991684,12610.82558,9469.612434,8587.615837
296,11493.31235,8529.249157,9454.073596,12611.08956,9469.695147,8587.655094
297,11493.50198,8529.284633,9454.153186,12611.34607,9469.775515,8587.693238
298,11493.68624,8529.319104,9454.230518,12611.5953,9469.853604,8587.7303
299,11493.86528,8529.352596,9454.305658,12611.83747,9469.929478,8587.766311
300,11494.03924,8529.385139,9454.378667,12612.07277,9470.003201,8587.801301
301,11494.20827,8529.416759,9454.449605,12612.30141,9470.074834,8587.835299
302,11494.3725,8529.447482,9454.518533,12612.52356,9470.144435,8587.868332
303,11494.53209,8529.477334,9454.585505,12612.73942,9470.212062,8587.900429
304,11494.68714,8529.506339,9454.650578,12612.94915,9470.277772,8587.931615
305,11494.8378,8529.534522,9454.713807,12613.15295,9470.341619,8587.961917
306,11494.98419,8529.561905,9454.775242,12613.35096,9470.403655,8587.991359
307,11495.12643,8529.588512,9454.834935,12613.54336,9470.463931,8588.019967
308,11495.26463,8529.614364,9454.892935,12613.73031,9470.522499,8588.047763
309,11495.39892,8529.639483,9454.94929,12613.91195,9470.579405,8588.074771
310,11495.5294,8529.663889,9455.004047,12614.08845,9470.634698,8588.101013
311,11495.65618,8529.687604,9455.057252,12614.25994,9470.688423,8588.12651
312,11495.77937,8529.710645,9455.108947,12614.42657,9470.740624,8588.151285
313,11495.89906,8529.733034,9455.159177,12614.58848,9470.791345,8588.175356
314,11496.01536,8529.754787,9455.207982,12614.7458,9470.840627,8588.198746
315,11496.12836,8529.775923,9455.255403,12614.89865,9470.888512,8588.221471
316,11496.23816,8529.79646,9455.301479,12615.04717,9470.935039,8588.243553
317,11496.34484,8529.816415,9455.346249,12615.19149,9470.980246,8588.265007
318,11496.4485,8529.835803,9455.389749,12615.33171,9471.024172,8588.285854
319,11496.54922,8529.854642,9455.432015,12615.46795,9471.066851,8588.306109
320,11496.64708,8529.872946,9455.473082,12615.60033,9471.108321,8588.32579
321,11496.74217,8529.890731,9455.512985,12615.72896,9471.148614,8588.344912
322,11496.83456,8529.908012,9455.551757,12615.85394,9471.187764,8588.363493
323,11496.92434,8529.924802,9455.589428,12615.97537,9471.225805,8588.381546
324,11497.01156,8529.941117,9455.626032,12616.09337,9471.262766,8588.399087
325,11497.09632,8529.956968,9455.661597,12616.20801,9471.298679,8588.416131
326,11497.17867,8529.97237,9455.696154,12616.31941,9471.333574,8588.432691
327,11497.25868,8529.987336,9455.72973,12616.42765,9471.367479,8588.448782
