,,,368.5240291,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd,,,,,,,,,,
Country,ISO,CO2_MtC,CO2_GtC,SCC_RMQ,SCC_RMQ_std,SCC_RMQ,SCC_RMQ_std,SCC_Drupp,SCC_Drupp_std,SCC_Drupp,SCC_Drupp_std,,Var_RMQ,Var_Drupp,,,,,,,
Dominican Republic,DOM,190.8902099,0.19089021,24741.32483,2138.216213,24.74132483,2.138216213,39664.12518,3452.860784,39.66412518,3.452860784,,4.571968575,11.92224759,,,,,,,
Latvia,LVA,190.78886,0.19078886,27502.55875,2119.196401,27.50255875,2.119196401,41017.75314,3076.264637,41.01775314,3.076264637,,4.490993386,9.463404116,,,,,,,
Lebanon,LBN,185.6894769,0.185689477,24207.56271,2017.507539,24.20756271,2.017507539,38605.83707,3277.571988,38.60583707,3.277571988,,4.07033667,10.74247814,,,,,,,
Angola,AGO,183.6649843,0.183664984,22851.96544,2343.550863,22.85196544,2.343550863,37590.77704,3935.835127,37.59077704,3.935835127,,5.492230648,15.49079814,,,,,,,
Zimbabwe,ZWE,181.6684035,0.181668403,25452.37784,1892.68038,25.45237784,1.89268038,38687.74629,2843.027035,38.68774629,2.843027035,,3.582239022,8.082802722,,,,,,,
Jordan,JOR,177.1282163,0.177128216,22610.55664,2052.527328,22.61055664,2.052527328,36623.62377,3350.05784,36.62362377,3.35005784,,4.212868432,11.22288753,,,,,,,
Mongolia,MNG,171.1615369,0.171161537,21715.20615,2192.514915,21.71520615,2.192514915,35233.4533,3680.694179,35.2334533,3.680694179,,4.807121652,13.54750964,,,,,,,
Armenia,ARM,170.8074422,0.170807442,25188.07589,2113.410931,25.18807589,2.113410931,36980.34193,3018.7004,36.98034193,3.0187004,,4.466505761,9.112552106,,,,,,,
Yemen,YEM,167.639617,0.167639617,22106.84876,1866.307642,22.10684876,1.866307642,35005.20609,2994.282757,35.00520609,2.994282757,,3.483104213,8.96572923,,,,,,,
North Macedonia,MKD,155.9235157,0.155923516,21753.51015,1714.838321,21.75351015,1.714838321,33215.59719,2560.673108,33.21559719,2.560673108,,2.940670467,6.557046766,,,,,,,
Bolivia,BOL,142.3857951,0.142385795,18712.25167,1539.800975,18.71225167,1.539800975,29631.82342,2491.844249,29.63182342,2.491844249,,2.370987042,6.209287762,,,,,,,
Myanmar,MMR,132.5888951,0.132588895,17349.58025,1448.400373,17.34958025,1.448400373,27567.79039,2367.678343,27.56779039,2.367678343,,2.097863642,5.605900738,,,,,,,
Sri Lanka,LKA,125.0752151,0.125075215,16198.15527,1387.875223,16.19815527,1.387875223,25914.49911,2286.438079,25.91449911,2.286438079,,1.926197634,5.227799087,,,,,,,
Jamaica,JAM,119.3402444,0.119340244,16332.97246,1262.14537,16.33297246,1.26214537,25240.55792,1932.77484,25.24055792,1.93277484,,1.593010935,3.735618581,,,,,,,
Kenya,KEN,117.8422732,0.117842273,15607.91772,1237.722876,15.60791772,1.237722876,24610.59434,1990.22332,24.61059434,1.99022332,,1.531957917,3.960988862,,,,,,,
Curaçao,CUW,114.2099365,0.114209936,16635.73429,1433.845267,16.63573429,1.433845267,24600.001,2026.389601,24.600001,2.026389601,,2.05591225,4.106254816,,,,,,,
Guatemala,GTM,110.0640537,0.110064054,14261.11457,1216.19086,14.26111457,1.21619086,22838.64618,1984.907338,22.83864618,1.984907338,,1.479120208,3.939857141,,,,,,,
Sudan,SDN,108.9441899,0.10894419,13937.26575,1276.187749,13.93726575,1.276187749,22491.87363,2113.143411,22.49187363,2.113143411,,1.62865517,4.465375074,,,,,,,
Tajikistan,TJK,102.4158208,0.102415821,14914.05421,1207.260912,14.91405421,1.207260912,22074.38453,1739.405768,22.07438453,1.739405768,,1.45747891,3.025532424,,,,,,,
Uruguay,URY,97.37664326,0.097376643,13720.61855,977.9618878,13.72061855,0.977961888,20728.69329,1456.836776,20.72869329,1.456836776,,0.956409454,2.122373391,,,,,,,
Ghana,GHA,91.77782464,0.091777825,11859.36663,1023.650145,11.85936663,1.023650145,19011.737,1685.953697,19.011737,1.685953697,,1.04785962,2.842439867,,,,,,,
Côte d'Ivoire,CIV,86.1474082,0.086147408,11400.63929,949.896282,11.40063929,0.949896282,18020.67105,1501.843107,18.02067105,1.501843107,,0.902302947,2.255532718,,,,,,,
Brunei Darussalam,BRN,83.65934025,0.08365934,11295.99511,979.2031726,11.29599511,0.979203173,17604.56111,1494.865701,17.60456111,1.494865701,,0.958838853,2.234623463,,,,,,,
Panama,PAN,78.66680794,0.078666808,10278.08136,852.4234582,10.27808136,0.852423458,16360.48221,1385.95873,16.36048221,1.38595873,,0.726625752,1.920881602,,,,,,,
Cyprus,CYP,76.25859872,0.076258599,10067.4367,825.2259314,10.0674367,0.825225931,15942.71591,1313.528635,15.94271591,1.313528635,,0.680997838,1.725357475,,,,,,,
Albania,ALB,73.6216177,0.073621618,10350.10096,836.3707199,10.35010096,0.83637072,15699.69088,1237.307511,15.69969088,1.237307511,,0.699515981,1.530929878,,,,,,,
Gabon,GAB,68.14659691,0.068146597,9329.968401,782.0148285,9.329968401,0.782014829,14430.15015,1176.473085,14.43015015,1.176473085,,0.611547192,1.384088919,,,,,,,
Honduras,HND,65.17650093,0.065176501,8339.042751,745.7225991,8.339042751,0.745722599,13469.41147,1227.836608,13.46941147,1.227836608,,0.556102195,1.507582736,,,,,,,
Costa Rica,CRI,65.03645058,0.065036451,8454.455916,717.9907252,8.454455916,0.717990725,13520.88951,1161.466996,13.52088951,1.161466996,,0.515510681,1.349005582,,,,,,,
Zambia,ZMB,62.72651649,0.062726516,9085.640807,669.0365621,9.085640807,0.669036562,13444.23152,961.2481826,13.44423152,0.961248183,,0.447609921,0.923998069,,,,,,,
Ethiopia,ETH,62.21897824,0.062218978,7829.075086,766.9166019,7.829075086,0.766916602,12773.80153,1289.578359,12.77380153,1.289578359,,0.588161074,1.663012343,,,,,,,
Senegal,SEN,60.34106228,0.060341062,7847.299372,666.4349389,7.847299372,0.666434939,12534.57817,1085.111402,12.53457817,1.085111402,,0.444135528,1.177466754,,,,,,,
El Salvador,SLV,59.65363566,0.059653636,7830.255743,649.8809685,7.830255743,0.649880968,12441.82987,1042.473319,12.44182987,1.042473319,,0.422345273,1.086750621,,,,,,,
Tanzania,TZA,58.5437226,0.058543723,7522.991037,677.8805177,7.522991037,0.677880518,12104.01243,1120.189471,12.10401243,1.120189471,,0.459521996,1.254824451,,,,,,,
Cameroon,CMR,53.5328751,0.053532875,6993.492637,641.553837,6.993492637,0.641553837,11147.22745,1017.872518,11.14722745,1.017872518,,0.411591326,1.036064462,,,,,,,
Democratic Republic of the Congo,COD,49.68304501,0.049683045,7234.924029,541.0451124,7.234924029,0.541045112,10690.08774,776.5311259,10.69008774,0.776531126,,0.292729814,0.60300059,,,,,,,
Afghanistan,AFG,46.5722764,0.046572276,6019.713127,586.0957851,6.019713127,0.586095785,9643.213669,966.4750013,9.643213669,0.966475001,,0.343508269,0.934073928,,,,,,,
Nicaragua,NIC,45.29214624,0.045292146,5999.503484,479.4260319,5.999503484,0.479426032,9469.647325,764.4630074,9.469647325,0.764463007,,0.22984932,0.58440369,,,,,,,
Mozambique,MOZ,44.71145309,0.044711453,6150.317015,499.5642138,6.150317015,0.499564214,9422.25754,779.17392,9.42225754,0.77917392,,0.249564404,0.607111998,,,,,,,
Bahamas,BHS,44.21220358,0.044212204,6367.899106,641.057555,6.367899106,0.641057555,9506.691668,911.0690773,9.506691668,0.911069077,,0.410954789,0.830046864,,,,,,,
Paraguay,PRY,44.03178858,0.044031789,5646.668196,503.1306462,5.646668196,0.503130646,9111.436453,823.4275059,9.111436453,0.823427506,,0.253140447,0.678032858,,,,,,,
Papua New Guinea,PNG,42.80110485,0.042801105,5511.395003,484.2519091,5.511395003,0.484251909,8868.530005,790.4942567,8.868530005,0.790494257,,0.234499912,0.62488117,,,,,,,
Iceland,ISL,39.71539816,0.039715398,5405.786274,397.211183,5.405786274,0.397211183,8369.24346,619.043286,8.36924346,0.619043286,,0.157776724,0.38321459,,,,,,,
New Caledonia,NCL,38.76498186,0.038764982,5198.046434,410.9389118,5.198046434,0.410938912,8120.870248,653.6867937,8.120870248,0.653686794,,0.168870789,0.427306424,,,,,,,
Botswana,BWA,37.1753097,0.03717531,4651.337974,459.5345954,4.651337974,0.459534595,7637.274874,756.9993036,7.637274874,0.756999304,,0.211172044,0.573047946,,,,,,,
Nepal,NPL,35.2222476,0.035222248,4294.073515,487.8242383,4.294073515,0.487824238,7158.633228,829.8808732,7.158633228,0.829880873,,0.237972488,0.688702264,,,,,,,
Cambodia,KHM,34.8837332,0.034883733,4222.116024,510.8891492,4.222116024,0.510889149,7064.902685,875.7224888,7.064902685,0.875722489,,0.261007723,0.766889877,,,,,,,
Equatorial Guinea,GNQ,34.24583942,0.034245839,4079.842078,547.2148079,4.079842078,0.547214808,6918.52499,913.3724489,6.91852499,0.913372449,,0.299444046,0.83424923,,,,,,,
Laos,LAO,32.98085048,0.03298085,3818.102528,725.8895884,3.818102528,0.725889588,6564.256088,1272.021416,6.564256088,1.272021416,,0.526915695,1.618038484,,,,,,,
Suriname,SUR,30.20084467,0.030200845,4150.730328,315.7771159,4.150730328,0.315777116,6391.644463,481.048309,6.391644463,0.481048309,,0.099715187,0.231407476,,,,,,,
Mauritius,MUS,29.41777584,0.029417776,3745.792445,341.9455136,3.745792445,0.341945514,6071.554132,563.0001137,6.071554132,0.563000114,,0.116926734,0.316969128,,,,,,,
Benin,BEN,28.26975763,0.028269758,3447.28371,383.4907194,3.44728371,0.383490719,5747.472641,649.6685237,5.747472641,0.649668524,,0.147065132,0.422069191,,,,,,,
Malta,MLT,27.64533292,0.027645333,3704.116258,302.3776239,3.704116258,0.302377624,5810.854231,473.9711954,5.810854231,0.473971195,,0.091432227,0.224648694,,,,,,,
Guyana,GUY,26.13489948,0.026134899,3615.461406,267.587822,3.615461406,0.267587822,5538.096294,405.9287869,5.538096294,0.405928787,,0.071603242,0.16477818,,,,,,,
Uganda,UGA,25.85759078,0.025857591,3337.713025,299.4344193,3.337713025,0.299434419,5348.493996,494.9775718,5.348493996,0.494977572,,0.089660971,0.245002797,,,,,,,
Montenegro,MNE,25.03443024,0.02503443,3395.886117,265.1733965,3.395886117,0.265173397,5279.021958,409.1183551,5.279021958,0.409118355,,0.07031693,0.167377828,,,,,,,
